timestamp,main_state,transition_reason,basestation,flight_number
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
